title,slug,bpm,key_scale,duration_sec,seed,mood,cover_strength,cover_src,enabled
Yalil,yalil,110,D minor,120,60101,"approved — keep — DO NOT DELETE",,,false
Noor,noor,108,A minor,120,70801,"approved — keep — DO NOT DELETE",,,false
